"Q260","Q262","Q275","Q71","Q115","Q113","Q199","Q251","Q33"
2,38,-2,2,2,2,2,9,2
2,52,1,2,2,1,4,7,2
2,69,3,2,3,2,3,10,2
1,48,-2,2,3,3,2,9,3
1,70,6,2,2,2,2,9,4
1,30,6,1,2,2,3,7,4
2,27,6,2,2,2,2,7,4
2,60,3,3,3,3,4,5,4
1,63,2,2,2,2,2,7,2
2,69,2,1,2,2,2,9,4
1,68,3,1,2,2,2,9,2
1,38,8,3,3,2,3,3,4
2,26,7,2,2,2,2,6,4
2,28,2,2,3,3,2,6,4
1,42,-2,3,2,2,2,-2,4
1,60,-2,2,2,2,3,-2,2
1,65,2,1,-2,-2,2,9,2
1,31,6,2,3,2,3,7,3
1,50,-2,2,4,4,3,8,2
1,66,2,1,2,3,1,8,2
1,52,2,2,-2,2,4,9,4
1,38,6,2,2,2,2,6,4
1,48,-2,3,-2,-2,4,5,4
1,65,6,2,2,2,2,5,4
2,50,-2,3,3,-2,3,-2,2
1,36,6,2,2,2,3,8,4
1,39,7,2,2,2,3,8,4
2,70,3,2,2,2,2,9,4
2,29,6,2,3,3,4,6,4
1,63,1,1,2,2,2,7,2
2,34,6,2,2,2,2,4,4
1,63,2,1,2,2,3,7,2
1,50,6,2,2,2,3,8,4
1,29,6,2,3,3,2,6,4
1,54,3,1,2,2,2,10,2
2,57,3,1,3,2,3,7,4
1,56,3,2,3,2,4,6,2
1,37,6,2,3,2,2,5,3
2,36,-2,2,2,2,2,6,2
2,46,6,2,3,2,2,6,2
1,52,3,2,2,2,3,7,4
2,35,-2,3,3,2,3,9,4
1,45,7,2,2,2,4,5,5
2,50,-2,1,1,1,2,8,4
1,57,3,2,2,2,4,8,2
1,43,3,3,3,3,3,7,3
2,63,3,2,2,2,2,-2,2
2,20,6,1,1,1,2,10,5
2,53,2,2,3,2,4,7,3
1,68,3,1,2,2,2,9,4
1,34,6,2,3,3,2,7,2
1,69,-2,2,-2,2,2,7,2
1,52,-2,2,1,1,3,-2,1
1,64,2,-1,3,3,4,1,2
1,22,6,1,3,2,2,8,3
1,22,6,1,2,2,3,9,3
2,51,6,2,3,3,2,5,2
2,48,6,2,2,2,3,6,3
1,25,7,1,3,2,2,8,4
2,18,6,2,2,2,2,8,4
1,55,2,1,2,2,2,4,2
1,45,3,2,3,3,2,9,5
2,32,2,2,2,2,3,5,4
1,33,3,2,3,2,4,4,3
2,29,2,1,2,2,2,10,2
2,18,6,1,2,2,3,9,4
1,63,2,1,2,2,3,10,4
1,68,3,2,2,2,2,9,2
1,33,3,1,3,2,2,8,2
1,70,3,2,3,3,1,3,4
1,40,3,1,2,2,3,9,4
1,43,6,2,2,2,2,6,4
1,37,3,1,2,2,4,7,3
1,64,6,1,2,2,1,10,2
2,53,3,1,2,2,2,4,4
1,69,3,2,3,2,2,8,4
2,49,3,2,2,2,3,9,4
1,63,2,-2,3,-2,3,5,4
1,68,3,1,2,2,1,10,4
2,21,6,1,1,1,2,10,5
1,42,3,2,2,2,3,1,4
2,18,3,2,2,2,3,9,4
2,58,3,2,3,3,4,1,4
1,60,6,2,3,3,2,6,2
1,64,2,1,3,2,1,8,2
2,46,2,1,2,2,2,10,2
1,30,-2,1,2,2,2,5,2
2,65,2,1,2,2,1,10,1
2,60,3,1,3,2,1,8,4
2,22,6,1,2,2,2,5,3
1,55,2,1,2,2,1,10,2
1,49,6,1,3,2,3,10,4
1,65,1,1,-2,-2,4,10,4
1,31,6,2,2,2,2,9,4
2,26,3,2,2,2,2,10,4
2,60,3,1,3,2,2,5,1
1,46,2,1,2,2,3,9,2
1,36,2,1,3,2,2,8,2
1,31,6,3,4,4,4,5,4
1,24,6,1,2,2,3,7,3
1,65,2,2,2,-2,3,10,4
2,56,3,2,2,2,1,8,2
1,31,7,1,3,2,2,8,3
2,28,6,2,2,2,1,10,4
2,28,2,2,3,2,2,6,2
1,56,2,1,2,2,4,8,1
2,48,2,1,-2,-2,2,6,1
2,57,2,2,2,2,3,7,3
2,57,1,1,2,2,3,1,2
2,37,6,1,1,2,2,10,2
1,51,2,2,2,2,4,8,3
2,46,2,2,2,2,3,7,2
2,58,2,1,2,2,1,10,1
1,54,3,1,2,2,3,6,2
1,64,2,1,2,2,1,9,1
2,38,3,2,2,2,3,10,4
2,30,3,1,2,2,3,5,2
2,62,1,1,2,2,4,8,1
2,45,3,1,2,2,1,5,4
1,64,1,1,3,3,2,5,1
